,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,4,4,4,4,4,4,1,2,2.9997,0.9999,-0.0001,2.9997,0.49995,0.9999,30.2275,663.515
9,0,0,0,0,0,0,1,1,2.9973,0.9991,-0.0009,2.9973,0.49955,0.9991,34.75,1255.5
8,0,0,0,0,0,0,1,1,2.9979,0.9993,-0.0007,2.9979,0.49965,0.9993,39.25,2437.5
7,0,0,0,0,0,0,1,0,2.9985,0.9995,-0.0005,2.9985,0.49975,0.9995,70.75,861.5
6,0,0,0,0,0,0,0,0,2.9991000000000003,0.9997,-0.00030000000000000003,2.9991000000000003,0.49985,0.9997,43.75,1058.5
5,0,0,0,0,0,0,0,0,3.0003,1.0001,0.0001,3.0003,0.50005,1.0001,48.25,1452.5
4,0,0,0,0,0,0,0,0,3.0008999999999997,1.0003,0.00030000000000000003,3.0008999999999997,0.50015,1.0003,52.75,1649.5
3,0,0,0,0,0,0,0,0,3.0015,1.0005,0.0005,3.0015,0.50025,1.0005,57.25,1846.5
2,0,0,0,0,0,0,0,0,3.0021,1.0007,0.0007,3.0021,0.50035,1.0007,61.75,2043.5
1,0,0,0,0,0,0,0,0,3.0027,1.0009,0.0009,3.0027,0.50045,1.0009,66.25,2240.5
